case,mesh_size_mm,tetrahedra,mean_load_displacement_mm,maximum_displacement_mm,apparent_stiffness_n_per_mm,maximum_reported_von_mises_mpa,estimated_mass_g,equilibrium_relative_error,energy_identity_relative_error
Cubic 15%,2.4,134566,0.3908875117270084,0.4076584278337182,255.82807585277607,7.751415549802941,40.93285920008664,6.230624194358825e-09,1.0831517421969024e-11
Cubic 25%,2.4,134566,0.3264764791108369,0.3374636216689144,306.3007793772812,6.453591184185892,47.67815152532635,8.77929679177214e-09,8.337261903449162e-12
Dense 100%,2.4,134566,0.12431562118510277,0.1274889984061312,804.4041372009281,2.4568173940637923,98.26784396462233,1.6300704714922178e-08,2.426033160556318e-11
