case,mesh_size_mm,tetrahedra,mean_load_displacement_mm,maximum_displacement_mm,apparent_stiffness_n_per_mm,maximum_reported_von_mises_mpa,estimated_mass_g,core_relative_stiffness,equilibrium_relative_error,energy_identity_relative_error
Cubic 15%,2.4,134566,0.3908875117270084,0.4076584278337182,255.82807585277607,7.751415549802941,40.93285920008664,0.0225,6.230624194358825e-09,1.0831517421969024e-11
Gyroid 15%,2.4,134566,0.3862616605258146,0.40254741315698367,258.89186067255775,7.677601983867209,40.93285920008664,0.024212024999999998,5.517704693147607e-09,9.23020180641354e-12
Honeycomb 15%,2.4,134566,0.3905714366193981,0.4073089086489325,256.03510811121464,7.746464831376479,40.93285920008664,0.02261295,6.202402289545717e-09,1.0666886766889551e-11
Cubic 25%,2.4,134566,0.3264764791108369,0.3374636216689144,306.3007793772812,6.453591184185892,47.67815152532635,0.0625,8.77929679177214e-09,8.337261903449162e-12
Gyroid 25%,2.4,134566,0.3175368022000161,0.32789986602365356,314.92412629705234,6.23120912220021,47.67815152532635,0.071856875,1.080332239666859e-08,7.238121099298865e-12
Honeycomb 25%,2.4,134566,0.3226964439742661,0.33341438539158696,309.8887572742346,6.360552209378452,47.67815152532635,0.066308125,1.0927717966069395e-08,7.344514159024829e-12
Dense 100%,2.4,134566,0.12431562118510277,0.1274889984061312,804.4041372009281,2.4568173940637923,98.26784396462233,1.0,1.6300704714922178e-08,2.426033160556318e-11
